Distance_m,RX_Earth,RX_Mars_Clear,RX_Mars_Dust,RX_Mars_Sat_Clear,RX_Mars_Sat_Dust,RX_Prop_Clear,RX_Prop_Dust
1218.5927384710872,-107.63792426533607,-123.067217194629,-131.25000610539965,-120.80466344043865,-124.80466344043865,-112.76402686397611,-113.26402686397611
1321.9411484660286,-108.69853032594213,-124.30459093200275,-132.50288210427266,-120.80467611003544,-124.80467611003544,-112.76403953357291,-113.26403953357291
1434.0544997832724,-109.7591363865482,-125.54196466937648,-133.75707284434398,-120.80469101972108,-124.80469101972108,-112.76405444325854,-113.26405444325854
1555.6761439304723,-110.81974244715427,-126.77933840675024,-135.0126898283398,-120.80470856555175,-124.80470856555175,-112.76407198908922,-113.26407198908922
1687.612475788147,-111.88034850776032,-128.01671214412397,-136.2698540154922,-120.80472921360419,-124.80472921360419,-112.76409263714166,-113.26409263714166
1830.7382802953678,-112.94095456836638,-129.2540858814977,-137.528696623542,-120.80475351235339,-124.80475351235339,-112.76411693589085,-113.26411693589085
1986.002532585912,-114.00156062897244,-130.49145961887143,-138.78935999875932,-120.80478210723774,-124.80478210723774,-112.76414553077521,-113.26414553077521
2154.4346900318824,-115.0621666895785,-131.72883335624516,-140.05199855974993,-120.80481575779828,-124.80481575779828,-112.76417918133575,-113.26417918133575
2337.1515179132775,-116.12277275018457,-132.96620709361892,-141.31677982130591,-120.80485535784615,-124.80485535784615,-112.76421878138362,-113.26421878138362
2535.3644939701117,-117.18337881079063,-134.20358083099265,-142.58388550508818,-120.80490195919333,-124.80490195919333,-112.7642653827308,-113.2642653827308
2750.387840931946,-118.24398487139669,-135.44095456836638,-143.85351274450616,-120.80495679957517,-124.80495679957517,-112.76432022311263,-113.26432022311263
2983.6472402833374,-119.30459093200275,-136.6783283057401,-145.1258753917826,-120.80502133550507,-124.80502133550507,-112.76438475904254,-113.26438475904254
3236.6892850406016,-120.36519699260882,-137.91570204311387,-146.40120543586997,-120.80509728093043,-124.80509728093043,-112.7644607044679,-113.2644607044679
3511.191734215131,-121.42580305321488,-139.1530757804876,-147.67975454061985,-120.80518665271367,-124.80518665271367,-112.76455007625114,-113.26455007625114
3808.9746369540717,-122.48640911382094,-140.39044951786136,-148.96179571340446,-120.80529182414082,-124.80529182414082,-112.76465524767829,-113.26465524767829
4132.0124001153345,-123.54701517442697,-141.62782325523506,-150.24762511525236,-120.80541558787121,-124.80541558787121,-112.76477901140868,-113.26477901140868
4482.4468792893085,-124.60762123503306,-142.86519699260882,-151.53756402450222,-120.80556122999104,-124.80556122999104,-112.76492465352851,-113.26492465352851
4862.601580065353,-125.66822729563913,-144.10257072998255,-152.83196096699234,-120.80573261712283,-124.80573261712283,-112.7650960406603,-113.2650960406603
5274.99706370262,-126.72883335624519,-145.33994446735628,-154.13119402691166,-120.80593429888532,-124.80593429888532,-112.76529772242279,-113.26529772242279
5722.367659350214,-127.78943941685122,-146.57731820473,-155.43567335363252,-120.80617162839837,-124.80617162839837,-112.76553505193584,-113.26553505193584
6207.679593624761,-128.8500454774573,-147.81469194210376,-156.74584388114747,-120.80645090399517,-124.80645090399517,-112.76581432753264,-113.26581432753264
6734.150657750822,-129.91065153806335,-149.0520656794775,-158.06218827814013,-120.80677953585442,-124.80677953585442,-112.76614295939189,-113.26614295939189
7305.271542664449,-130.9712575986694,-150.28943941685122,-159.38523014825088,-120.80716624190529,-124.80716624190529,-112.76652966544276,-113.26652966544276
7924.82898353917,-132.03186365927547,-151.52681315422495,-160.71553750175582,-120.80762127810871,-124.80762127810871,-112.76698470164618,-113.26698470164618
8596.930867190787,-133.09246971988154,-152.7641868915987,-162.05372652167733,-120.80815670909192,-124.80815670909192,-112.76752013262939,-113.26752013262939
9326.0334688322,-134.1530757804876,-154.00156062897244,-163.40046564929727,-120.80878672613298,-124.80878672613298,-112.76815014967045,-113.26815014967045
10116.970998767501,-135.21368184109366,-155.23893436634617,-164.7564800161613,-120.80952802067347,-124.80952802067347,-112.76889144421094,-113.26889144421094
10974.987654930545,-136.2742879016997,-156.4763081037199,-166.12255625195948,-120.81040022291265,-124.81040022291265,-112.76976364645012,-113.26976364645012
11905.772393787845,-137.33489396230578,-157.71368184109366,-167.49954770016183,-120.81142641662169,-124.81142641662169,-112.77078984015915,-113.27078984015915
12915.496650148827,-138.39550002291182,-158.9510555784674,-168.88838007598972,-120.81263374314676,-124.81263374314676,-112.77199716668423,-113.27199716668423
14010.85525598016,-139.4561060835179,-160.18842931584112,-170.29005760423814,-120.8140541096698,-124.8140541096698,-112.77341753320727,-113.27341753320727
15199.11082952933,-140.51671214412397,-161.42580305321485,-171.70566967764424,-120.81572501919169,-124.81572501919169,-112.77508844272916,-113.27508844272916
16488.14192907418,-141.57731820473003,-162.6631767905886,-173.13639807994974,-120.81769054242599,-124.81769054242599,-112.77705396596346,-113.27705396596346
17886.495290574352,-142.6379242653361,-163.90055052796234,-174.58352482154848,-120.82000245485327,-124.82000245485327,-112.77936587839073,-113.27936587839073
19403.44249557912,-143.69853032594213,-165.13792426533607,-176.04844063967295,-120.82272156560438,-124.82272156560438,-112.78208498914185,-113.28208498914185
21049.04144512022,-144.75913638654822,-166.37529800270983,-177.53265421947785,-120.82591926860417,-124.82591926860417,-112.78528269214164,-113.28528269214164
22834.203047182695,-145.81974244715425,-167.61267174008353,-179.03780219716094,-120.82967935048217,-124.82967935048217,-112.78904277401963,-113.28904277401963
