t_s,pos_err_m,cum_err_m
611640.0,50386944.90955068,915879260604.7047
611700.0,50762684.60648939,915930023289.3112
611760.0,51139590.53594155,915981162879.847
611820.0,51517411.1659564,916032680291.0131
611880.0,51895738.531564094,916084576029.5447
611940.0,52274458.35082618,916136850487.8955
612000.0,52653363.72366136,916189503851.6191
612060.0,53032209.96937628,916242536061.5885
612120.0,53410596.19786236,916295946657.7864
612180.0,53788477.57080722,916349735135.3572
612240.0,54165632.635918975,916403900767.993
612300.0,54541792.42427165,916458442560.4174
612360.0,54916657.57146905,916513359217.9888
612420.0,55290157.72790096,916568649375.7167
612480.0,55662088.57820471,916624311464.2949
612540.0,56032157.04681668,916680343621.3418
612600.0,56400163.95969712,916736743785.3015
612660.0,56766013.61313025,916793509798.9147
612720.0,57129518.358887106,916850639317.2736
612780.0,57490360.87186454,916908129678.1454
612840.0,57848440.7528809,916965978118.8983
612900.0,58203636.82908464,917024181755.7274
612960.0,58555777.49230064,917082737533.2197
613020.0,58904520.85283132,917141642054.0725
613080.0,59249863.88015917,917200891917.9526
613140.0,59591659.67275278,917260483577.6254
613200.0,59929724.214458674,917320413301.8398
613260.0,60263773.965325534,917380677075.8052
613320.0,60593818.62036724,917441270894.4255
613380.0,60919712.99999373,917502190607.4255
613440.0,61241247.213557675,917563431854.639
613500.0,61558234.07655212,917624990088.7156
613560.0,61870656.35969558,917686860745.0753
613620.0,62178383.090732336,917749039128.166
613680.0,62481178.19539119,917811520306.3615
613740.0,62778949.581347294,917874299255.9427
613800.0,63071652.84721625,917937370908.7899
613860.0,63359170.65325489,918000730079.4431
613920.0,63641240.4995146,918064371319.9426
613980.0,63917864.22077569,918128289184.1635
614040.0,64188970.05008188,918192478154.2135
614100.0,64454449.15748799,918256932603.371
614160.0,64714026.34458768,918321646629.7156
614220.0,64967782.40777022,918386614412.1233
614280.0,65215622.722298175,918451830034.8456
614340.0,65457411.19777498,918517287446.0433
614400.0,65692965.958553486,918582980412.0018
614460.0,65922339.663543805,918648902751.6654
614520.0,66145450.15593201,918715048201.8213
614580.0,66362134.08916154,918781410335.9104
614640.0,66572301.963636465,918847982637.874
614700.0,66775978.31548081,918914758616.1895
614760.0,66973093.18411889,918981731709.3735
614820.0,67163456.07352488,919048895165.447
614880.0,67347068.9536593,919116242234.4006
