t_s,dt_s
2002.9503252996544,1.0
2003.9503252996544,1.0
2004.9503252996544,1.0
2005.9503252996544,1.0
2006.9503252996544,1.0
2007.9503252996544,1.0
2008.9503252996544,1.0
2009.9503252996544,1.0
2010.9503252996544,1.0
2011.9503252996544,1.0
2012.9503252996544,1.0
2013.9503252996544,1.0
2014.9503252996544,1.0
2015.9503252996544,1.0
2016.9503252996544,1.0
2017.9503252996544,1.0
2018.9503252996544,1.0
2019.9503252996544,1.0
2020.9503252996544,1.0
2021.9503252996544,1.0
2022.9503252996544,1.0
2023.9503252996544,1.0
2024.9503252996544,1.0
2025.9503252996544,1.0
2026.9503252996544,1.0
2027.9503252996544,1.0
2028.9503252996544,1.0
2029.9503252996544,1.0
2030.9503252996544,1.0
2031.9503252996544,1.0
2032.9503252996544,1.0
2033.9503252996544,1.0
2034.9503252996544,1.0
2035.9503252996544,1.0
2036.9503252996544,1.0
2037.9503252996544,1.0
2038.9503252996544,1.0
2039.9503252996544,1.0
2040.9503252996544,6.031459325050173
2046.9817846247047,6.634605257555199
2053.6163898822597,7.298065783310699
2060.9144556655706,8.027872361641789
2068.942328027212,8.830659597805948
2077.7729876250182,9.713725557586553
2087.486713182605,10.685098113345225
2098.17181129595,11.75360792467975
2109.92541922063,12.928968717147722
2122.8543879377776,14.221865588862489
2137.07625352664,15.64405214774872
2152.720305674389,17.20845736252361
2169.928763036912,18.92930309877595
2188.858066135688,20.822233408653553
2209.680299544342,22.904456749518907
2232.5847562938607,25.194902424470797
2257.7796587183316,27.714392666917888
2285.4940513852493,30.0
2315.4940513852493,30.0
2345.4940513852493,30.0
2375.4940513852493,30.0
2405.4940513852493,30.0
2435.4940513852493,30.0
2465.4940513852493,30.0
2495.4940513852493,30.0
2525.4940513852493,30.0
2555.4940513852493,30.0
2585.4940513852493,3600.0
6185.494051385249,600.0
6785.494051385249,600.0
7385.494051385249,600.0
7985.494051385249,600.0
8585.494051385249,24.85525182042238
8610.349303205672,22.36972663838005
8632.719029844053,20.13275397454199
8652.851783818594,18.11947857708783
8670.971262395682,16.307530719379066
8687.278793115061,14.676777647441122
8701.955570762502,13.209099882697046
8715.1646706452,11.888189894427342
8727.052860539627,10.699370904984608
8737.75223144461,9.62943381448622
8747.381665259098,8.666490433037506
8756.048155692135,7.799841389733774
8763.847997081868,7.019857250760469
8770.867854332628,6.317871525684495
8777.185725858311,1.0
8778.185725858311,1.0
8779.185725858311,1.0
8780.185725858311,1.0
8781.185725858311,1.0
8782.185725858311,1.0
8783.185725858311,1.0
8784.185725858311,1.0
8785.185725858311,1.0
8786.185725858311,1.0
8787.185725858311,1.0
8788.185725858311,1.0
8789.185725858311,1.0
8790.185725858311,1.0
8791.185725858311,1.0
8792.185725858311,1.0
8793.185725858311,1.0
8794.185725858311,1.0
8795.185725858311,1.0
8796.185725858311,1.0
8797.185725858311,1.0
8798.185725858311,1.0
8799.185725858311,1.0
8800.185725858311,1.0
8801.185725858311,1.0
8802.185725858311,1.0
8803.185725858311,1.0
8804.185725858311,1.0
8805.185725858311,1.0
8806.185725858311,1.0
8807.185725858311,1.0
8808.185725858311,1.0
8809.185725858311,1.0
8810.185725858311,1.0
8811.185725858311,1.0
8812.185725858311,1.0
8813.185725858311,1.0
8814.185725858311,1.0
8815.185725858311,1.0
8816.185725858311,1.0
8817.185725858311,1.0
8818.185725858311,1.0
8819.185725858311,1.0
8820.185725858311,1.0
8821.185725858311,1.0
8822.185725858311,1.0
8823.185725858311,1.0
8824.185725858311,1.0
8825.185725858311,1.0
8826.185725858311,1.0
8827.185725858311,1.0
8828.185725858311,1.0
8829.185725858311,1.0
8830.185725858311,1.0
8831.185725858311,1.0
8832.185725858311,1.0
8833.185725858311,1.0
8834.185725858311,1.0
8835.185725858311,1.0
8836.185725858311,1.0
8837.185725858311,1.0
8838.185725858311,1.0
8839.185725858311,1.0
8840.185725858311,1.0
8841.185725858311,1.0
8842.185725858311,1.0
8843.185725858311,1.0
8844.185725858311,1.0
8845.185725858311,1.0
8846.185725858311,1.0
8847.185725858311,1.0
8848.185725858311,1.0
8849.185725858311,1.0
8850.185725858311,1.0
8851.185725858311,1.0
8852.185725858311,1.0
8853.185725858311,1.0
8854.185725858311,1.0
8855.185725858311,1.0
8856.185725858311,1.0
8857.185725858311,1.0
8858.185725858311,1.0
8859.185725858311,1.0
8860.185725858311,1.0
8861.185725858311,1.0
8862.185725858311,1.0
8863.185725858311,1.0
8864.185725858311,1.0
8865.185725858311,1.0
8866.185725858311,1.0
8867.185725858311,1.0
8868.185725858311,1.0
8869.185725858311,1.0
8870.185725858311,1.0
8871.185725858311,1.0
8872.185725858311,1.0
8873.185725858311,1.0
8874.185725858311,1.0
8875.185725858311,1.0
8876.185725858311,1.0
8877.185725858311,1.0
8878.185725858311,1.0
8879.185725858311,1.0
8880.185725858311,1.0
8881.185725858311,1.0
8882.185725858311,1.0
8883.185725858311,1.0
8884.185725858311,1.0
8885.185725858311,1.0
8886.185725858311,1.0
8887.185725858311,1.0
8888.185725858311,1.0
8889.185725858311,1.0
8890.185725858311,1.0
8891.185725858311,1.0
8892.185725858311,1.0
8893.185725858311,1.0
8894.185725858311,6.013915626883863
8900.199641485195,6.615307189572195
8906.814948674766,7.276837908529342
8914.091786583296,8.004521699382348
8922.096308282678,8.804973869320566
8930.901282152,9.68547125625264
8940.586753408252,10.654018381877904
8951.24077179013,11.719420220065695
8962.960192010196,12.891362242072319
8975.85155425227,14.18049846627964
8990.032052718549,15.598548312907587
9005.630601031457,17.15840314419838
9022.789004175655,18.874243458618185
9041.663247634273,20.76166780448002
9062.424915438753,22.837834584927986
9085.262750023681,25.12161804342086
9110.384368067102,27.633779847762888
9138.018147914865,30.0
9168.018147914865,30.0
9198.018147914865,30.0
9228.018147914865,30.0
9258.018147914865,30.0
9288.018147914865,30.0
9318.018147914865,30.0
9348.018147914865,30.0
9378.018147914865,30.0
9408.018147914865,30.0
9438.018147914865,3600.0
13038.018147914865,600.0
13638.018147914865,600.0
14238.018147914865,600.0
14838.018147914865,600.0
15438.018147914865,24.258584837739
15462.276732752603,21.832726353965153
15484.109459106568,19.649453718568658
15503.758912825137,17.684508346711844
15521.443421171849,15.916057512040606
15537.35947868389,14.324451760836563
15551.683930444726,12.892006584752925
15564.575937029478,11.602805926277687
15576.178742955755,10.442525333649973
15586.621268289406,9.39827280028494
15596.01954108969,8.458445520256465
15604.477986609947,7.612600968230799
15612.090587578177,6.851340871407774
15618.941928449585,6.166206784266978
15625.108135233851,1.0
15626.108135233851,1.0
15627.108135233851,1.0
15628.108135233851,1.0
15629.108135233851,1.0
15630.108135233851,1.0
15631.108135233851,1.0
15632.108135233851,1.0
15633.108135233851,1.0
15634.108135233851,1.0
15635.108135233851,1.0
15636.108135233851,1.0
15637.108135233851,1.0
15638.108135233851,1.0
15639.108135233851,1.0
15640.108135233851,1.0
15641.108135233851,1.0
15642.108135233851,1.0
15643.108135233851,1.0
15644.108135233851,1.0
15645.108135233851,1.0
15646.108135233851,1.0
15647.108135233851,1.0
15648.108135233851,1.0
15649.108135233851,1.0
15650.108135233851,1.0
15651.108135233851,1.0
15652.108135233851,1.0
15653.108135233851,1.0
15654.108135233851,1.0
15655.108135233851,1.0
15656.108135233851,1.0
15657.108135233851,1.0
15658.108135233851,1.0
15659.108135233851,1.0
15660.108135233851,1.0
15661.108135233851,1.0
15662.108135233851,1.0
15663.108135233851,1.0
15664.108135233851,1.0
15665.108135233851,1.0
15666.108135233851,1.0
15667.108135233851,1.0
15668.108135233851,1.0
15669.108135233851,1.0
15670.108135233851,1.0
15671.108135233851,1.0
15672.108135233851,1.0
15673.108135233851,1.0
15674.108135233851,1.0
15675.108135233851,1.0
15676.108135233851,1.0
15677.108135233851,1.0
15678.108135233851,1.0
15679.108135233851,1.0
15680.108135233851,1.0
15681.108135233851,1.0
15682.108135233851,1.0
15683.108135233851,1.0
15684.108135233851,1.0
15685.108135233851,1.0
15686.108135233851,1.0
15687.108135233851,1.0
15688.108135233851,1.0
15689.108135233851,1.0
15690.108135233851,1.0
15691.108135233851,1.0
15692.108135233851,1.0
15693.108135233851,1.0
15694.108135233851,1.0
15695.108135233851,1.0
15696.108135233851,1.0
15697.108135233851,1.0
15698.108135233851,1.0
15699.108135233851,1.0
15700.108135233851,1.0
15701.108135233851,1.0
15702.108135233851,1.0
15703.108135233851,1.0
15704.108135233851,1.0
15705.108135233851,1.0
15706.108135233851,1.0
15707.108135233851,1.0
15708.108135233851,1.0
15709.108135233851,1.0
15710.108135233851,1.0
15711.108135233851,1.0
15712.108135233851,1.0
15713.108135233851,1.0
15714.108135233851,1.0
15715.108135233851,1.0
15716.108135233851,1.0
15717.108135233851,1.0
15718.108135233851,1.0
15719.108135233851,1.0
15720.108135233851,1.0
15721.108135233851,1.0
15722.108135233851,1.0
15723.108135233851,1.0
15724.108135233851,1.0
15725.108135233851,1.0
15726.108135233851,1.0
15727.108135233851,1.0
15728.108135233851,1.0
15729.108135233851,1.0
15730.108135233851,1.0
15731.108135233851,1.0
15732.108135233851,1.0
15733.108135233851,1.0
15734.108135233851,1.0
15735.108135233851,1.0
15736.108135233851,1.0
15737.108135233851,1.0
15738.108135233851,1.0
15739.108135233851,1.0
15740.108135233851,1.0
15741.108135233851,6.050413894159647
15747.158549128011,6.655455283575611
15753.814004411586,7.321000811933118
15761.13500522352,8.05310089312643
15769.188106116646,8.858410982439091
15778.046517099085,9.744252080682964
15787.790769179768,10.718677288751314
15798.509446468519,11.79054501762639
15810.299991486145,12.969599519388975
15823.269591005534,14.266559471327856
15837.53615047686,15.693215418460568
15853.22936589532,17.262536960306534
15870.491902855627,18.988790656337187
15889.480693511963,20.887669721970816
15910.368363233934,22.976436694167933
15933.344799928102,25.274080363584652
15958.618880291686,27.801488399943082
15986.42036869163,30.0
16016.42036869163,30.0
16046.42036869163,30.0
16076.42036869163,30.0
16106.42036869163,30.0
16136.42036869163,30.0
16166.42036869163,30.0
16196.42036869163,30.0
16226.42036869163,30.0
16256.42036869163,30.0
16286.42036869163,3600.0
19886.42036869163,600.0
20486.42036869163,66.95873309179296
