t_s,pos_err_m,cum_err_m
22500.0,38253072.162281364,12678533178.43953
22560.0,38322542.59843317,12716855721.037962
22620.0,38419575.02085096,12755275296.058813
22680.0,38543593.76668416,12793818889.825497
22740.0,38693896.733335115,12832512786.558832
22800.0,38869639.33248537,12871382425.891317
22860.0,39069842.30871119,12910452268.20003
22920.0,39293436.02780239,12949745704.22783
22980.0,39539243.72678972,12989284947.95462
23040.0,39805993.444562994,13029090941.399183
23100.0,40092338.16820444,13069183279.567389
23160.0,40396881.579663225,13109580161.14705
23220.0,40718166.84174635,13150298327.988798
23280.0,41054685.35944586,13191353013.348244
23340.0,41404922.398992725,13232757935.747236
23400.0,41767336.863879025,13274525272.611115
23460.0,42140371.57512564,13316665644.18624
23520.0,42522470.72527062,13359188114.91151
23580.0,42912099.009896785,13402100213.921408
23640.0,43307726.7398176,13445407940.661224
23700.0,43707832.40408719,13489115773.065311
23760.0,44110944.05262812,13533226717.117939
23820.0,44515611.28477009,13577742328.40271
23880.0,44920410.96701948,13622662739.36973
23940.0,45323960.37234336,13667986699.742073
24000.0,45724929.18822498,13713711628.930298
24060.0,46122021.21153681,13759833650.141834
24120.0,46513971.792370625,13806347621.934204
24180.0,46899586.88379012,13853247208.817995
24240.0,47277709.19193919,13900524918.009933
24300.0,47647221.772006094,13948172139.78194
24360.0,48007059.52317327,13996179199.305113
24420.0,48356216.76797951,14044535416.073092
24480.0,48693728.097337164,14093229144.17043
24540.0,49018663.25871774,14142247807.429148
24600.0,49330166.53703968,14191577973.966187
24660.0,49627419.1659688,14241205393.132154
24720.0,49909642.97085184,14291115036.103006
24780.0,50176112.23160666,14341291148.334614
24840.0,50426158.555514306,14391717306.890127
24900.0,50659152.39338492,14442376459.283512
24960.0,50874496.739775576,14493250956.023287
25020.0,51071668.18784769,14544322624.211134
25080.0,51250176.50090224,14595572800.712036
25140.0,51409569.260000765,14646982369.972036
25200.0,51549444.92484653,14698531814.896883
25260.0,51669455.60365049,14750201270.500534
25320.0,51769289.81660823,14801970560.317142
25380.0,51848665.47311904,14853819225.790262
25440.0,51907373.038058795,14905726598.828321
25500.0,51945232.5168744,14957671831.345196
25560.0,51962099.4169372,15009633930.762133
25620.0,51957879.24829516,15061591810.010427
25680.0,51932528.30213358,15113524338.312561
25740.0,51886037.82333819,15165410376.135899
25800.0,51818426.547780715,15217228802.68368
25860.0,51729785.70998682,15268958588.393667
25920.0,51620233.85325004,15320578822.246918
25980.0,51489924.01853967,15372068746.265457
26040.0,51339059.76385294,15423407806.02931
26100.0,51167893.93109296,15474575699.960403
26160.0,50976713.977791145,15525552413.938194
26220.0,50765835.78624972,15576318249.724443
26280.0,50535647.08372731,15626853896.80817
26340.0,50286563.510183476,15677140460.318354
26400.0,50019035.34841129,15727159495.666765
26460.0,49733565.38543037,15776893061.052197
26520.0,49430705.61343104,15826323766.665628
26580.0,49111043.7376297,15875434810.403257
26640.0,48775198.23509141,15924210008.63835
26700.0,48423860.041664295,15972633868.680014
26760.0,48057749.87775874,16020691618.557772
26820.0,47677624.38292346,16068369242.940695
26880.0,47284295.69733003,16115653538.638025
26940.0,46878625.893381506,16162532164.531406
27000.0,46461514.45646948,16208993678.987875
27060.0,46033894.31742178,16255027573.305296
27120.0,45596771.45925978,16300624344.764555
27180.0,45151183.079563566,16345775527.844118
27240.0,44698202.59155086,16390473730.435669
27300.0,44238960.37196204,16434712690.80763
27360.0,43774635.14940259,16478487325.957033
27420.0,43306441.57456775,16521793767.5316
27480.0,42835626.19743675,16564629393.729038
27540.0,42363503.89530055,16606992897.624338
27600.0,41891415.38799007,16648884313.01233
27660.0,41420729.505973965,16690305042.518303
27720.0,40952863.445602626,16731257905.963905
27780.0,40489269.017047845,16771747174.980953
27840.0,40031418.02767299,16811778593.008627
27900.0,39580795.75285975,16851359388.761486
27960.0,39138931.68406286,16890498320.445549
28020.0,38707353.37373871,16929205673.819288
28080.0,38287583.0032172,16967493256.822506
28140.0,37881154.33158268,17005374411.154089
28200.0,37489590.66395387,17042864001.818043
28260.0,37114385.16391634,17079978386.981958
28320.0,36756989.285996534,17116735376.267956
28380.0,36418835.83232277,17153154212.100279
28440.0,36101287.41845203,17189255499.51873
28500.0,35805626.647940114,17225061126.16667
28560.0,35533070.295933135,17260594196.462605
28620.0,35284740.36768729,17295878936.83029
28680.0,35061642.34804297,17330940579.178333
28740.0,34864653.2563255,17365805232.434658
28800.0,34694543.23769663,17400499775.672356
28860.0,34551926.579139985,17435051702.251495
28920.0,34437255.13878913,17469488957.390285
28980.0,34350840.99897014,17503839798.389256
29040.0,34292832.82108989,17538132631.210346
29100.0,34263205.33725318,17572395836.5476
29160.0,34261760.716188446,17606657597.26379
29220.0,34288161.88757231,17640945759.151363
29280.0,34341898.92636881,17675287658.077732
29340.0,34422296.9811037,17709709955.058834
29400.0,34528556.63357335,17744238511.692406
29460.0,34659742.32906028,17778898254.021465
29520.0,34814787.190158874,17813713041.211624
29580.0,34992508.63087382,17848705549.8425
29640.0,35191650.91995643,17883897200.762455
29700.0,35410861.90812849,17919308062.67058
29760.0,35648707.36463583,17954956770.035217
29820.0,35903718.631399594,17990860488.66662
29880.0,36174380.97535939,18027034869.64198
29940.0,36459140.41728664,18063494010.059265
30000.0,36756419.669828735,18100250429.729095
30060.0,37064655.95094627,18137315085.680042
30120.0,37382274.81469102,18174697360.49473
30180.0,37707698.51411397,18212405059.008846
30240.0,38039390.179678224,18250444449.188526
30300.0,38375832.7132021,18288820281.90173
30360.0,38715530.12771765,18327535812.029446
30420.0,39057018.14393605,18366592830.17338
30480.0,39398893.33983434,18405991723.513218
30540.0,39739781.59519095,18445731505.10841
30600.0,40078339.45871182,18485809844.567123
30660.0,40413295.453395456,18526223140.02052
30720.0,40743420.487289436,18566966560.50781
30780.0,41067525.75880544,18608034086.266613
30840.0,41384470.73746822,18649418557.00408
30900.0,41693186.72060801,18691111743.72469
30960.0,41992642.9239577,18733104386.648647
31020.0,42281844.10110593,18775386230.749752
31080.0,42559872.67333071,18817946103.423084
31140.0,42825853.4267647,18860771956.84985
31200.0,43078951.04310081,18903850907.892952
31260.0,43318378.41225342,18947169286.305206
31320.0,43543417.137928456,18990712703.443134
31380.0,43753383.45783547,19034466086.90097
31440.0,43947624.12562425,19078413711.026596
31500.0,44125561.57356683,19122539272.600163
31560.0,44286654.06941306,19166825926.669575
31620.0,44430394.348234646,19211256321.01781
31680.0,44556319.600574076,19255812640.618385
31740.0,44664029.807005756,19300476670.425392
31800.0,44753154.31562686,19345229824.74102
31860.0,44823346.63543312,19390053171.376453
31920.0,44874333.51711429,19434927504.893566
31980.0,44905870.681978785,19479833375.575546
32040.0,44917743.06662321,19524751118.64217
32100.0,44909776.947412305,19569660895.58958
32160.0,44881856.14967075,19614542751.73925
32220.0,44833889.559037864,19659376641.298286
32280.0,44765804.913319,19704142446.211605
32340.0,44677602.12345931,19748820048.335064
32400.0,44569304.36807335,19793389352.703136
32460.0,44440960.14201762,19837830312.845154
32520.0,44292657.689831905,19882122970.534985
32580.0,44124538.88384895,19926247509.418835
32640.0,43936767.84036348,19970184277.259197
32700.0,43729523.65932951,20013913800.918526
32760.0,43503058.1477335,20057416859.066257
32820.0,43257642.06329327,20100674501.12955
32880.0,42993569.10339399,20143668070.232944
32940.0,42711172.77762757,20186379243.01057
33000.0,42410837.73818252,20228790080.748753
33060.0,42092969.693820246,20270883050.442574
33120.0,41757987.04718601,20312641037.48976
33180.0,41406383.206533775,20354047420.696297
33240.0,41038667.79793543,20395086088.494232
33300.0,40655372.749352805,20435741461.243584
33360.0,40257071.7704008,20475998533.013985
33420.0,39844388.97096203,20515842921.984947
33480.0,39417970.26818646,20555260892.25313
33540.0,38978473.86341708,20594239366.11655
33600.0,38526637.44056544,20632766003.557117
33660.0,38063214.07993765,20670829217.637054
33720.0,37588980.568215415,20708418198.20527
33780.0,37104759.65831088,20745522957.86358
33840.0,36611425.76504638,20782134383.628624
33900.0,36109877.892196,20818244261.52082
33960.0,35601028.68808531,20853845290.208904
34020.0,35085876.86352154,20888931167.072426
34080.0,34565437.05164059,20923496604.124065
34140.0,34040750.15059542,20957537354.274662
34200.0,33512908.20739331,20991050262.482056
34260.0,32983056.428367157,21024033318.910423
34320.0,32452366.81634174,21056485685.726765
34380.0,31922025.02163024,21088407710.748394
34440.0,31393306.939961504,21119801017.688354
34500.0,30867500.952876784,21150668518.64123
34560.0,30345918.389776766,21181014437.03101
34620.0,29829919.49549073,21210844356.5265
34680.0,29320909.02973937,21240165265.55624
34740.0,28820307.05994289,21268985572.616184
34800.0,28329532.911301948,21297315105.527485
34860.0,27850077.55637089,21325165183.083855
34920.0,27383418.49389383,21352548601.577747
34980.0,26931022.998785287,21379479624.576534
35040.0,26494371.374217726,21405973995.950752
35100.0,26074940.390712865,21432048936.341465
35160.0,25674165.670468207,21457723102.011932
35220.0,25293417.596244358,21483016519.608177
35280.0,24934065.36107453,21507950584.969254
35340.0,24597379.646455243,21532547964.615707
35400.0,24284525.94941088,21556832490.565117
35460.0,23996584.91014862,21580829075.475266
35520.0,23734524.084549174,21604563599.559814
35580.0,23499155.77664564,21628062755.33646
35640.0,23291112.239260122,21651353867.57572
35700.0,23110911.869139668,21674464779.444862
35760.0,22958863.315307498,21697423642.76017
35820.0,22835066.33349716,21720258709.093666
35880.0,22739450.226542708,21742998159.32021
35940.0,22671755.970483407,21765669915.29069
36000.0,22631513.949929483,21788301429.24062
36060.0,22618043.18561229,21810919472.42623
36120.0,22630541.83979242,21833550014.266026
36180.0,22668013.583926324,21856218027.849953
36240.0,22729291.989145707,21878947319.8391
36300.0,22813108.108169716,21901760427.94727
36360.0,22918087.080144648,21924678515.027412
36420.0,23042744.33007771,21947721259.35749
36480.0,23185500.699962016,21970906760.057453
36540.0,23344782.0162894,21994251542.073742
36600.0,23518949.07972219,22017770491.153465
36660.0,23706322.07779164,22041476813.23126
36720.0,23905252.278334346,22065382065.509594
36780.0,24114106.491961412,22089496172.001556
36840.0,24331256.459203053,22113827428.46076
36900.0,24555086.467650816,22138382514.92841
36960.0,24784081.525061786,22163166596.453472
37020.0,25016743.743052702,22188183340.196526
37080.0,25251603.290685937,22213434943.487213
37140.0,25487286.322623886,22238922229.809837
37200.0,25722480.982298847,22264644710.792137
37260.0,25955917.81550868,22290600628.607647
37320.0,26186370.872703347,22316786999.48035
37380.0,26412738.511159305,22343199737.99151
37440.0,26633949.56265411,22369833687.55416
37500.0,26848966.382086992,22396682653.93625
37560.0,27056857.694900155,22423739511.63115
37620.0,27256751.22440356,22450996262.855553
37680.0,27447811.7186871,22478444074.57424
37740.0,27629242.501158975,22506073317.0754
37800.0,27800366.059800547,22533873683.1352
37860.0,27960523.66807072,22561834206.803272
37920.0,28109075.08701806,22589943281.89029
37980.0,28245483.419299833,22618188765.30959
38040.0,28369255.571165953,22646558020.880756
38100.0,28479920.995260496,22675037941.87602
38160.0,28577037.081267957,22703614978.957287
38220.0,28660272.543334704,22732275251.50062
38280.0,28729300.42301643,22761004551.923637
38340.0,28783795.37951963,22789788347.303158
38400.0,28823535.007381253,22818611882.31054
38460.0,28848325.82082316,22847460208.131363
38520.0,28857983.54296097,22876318191.674324
38580.0,28852343.870205957,22905170535.54453
38640.0,28831349.474669512,22934001885.0192
38700.0,28794934.9157592,22962796819.93496
38760.0,28743020.971543737,22991539840.9065
38820.0,28675636.463044595,23020215477.369545
38880.0,28592825.865792155,23048808303.235336
38940.0,28494631.524994172,23077302934.76033
39000.0,28381111.119431984,23105684045.87976
39060.0,28252428.36702763,23133936474.246788
39120.0,28108728.13194263,23162045202.37873
39180.0,27950126.75583935,23189995329.13457
39240.0,27776859.155693527,23217772188.290264
39300.0,27589163.118102875,23245361351.408367
39360.0,27387263.982915334,23272748615.39128
39420.0,27171400.514917985,23299920015.9062
39480.0,26941919.167151622,23326861935.073353
39540.0,26699137.59923302,23353561072.672585
39600.0,26443329.65250973,23380004402.325096
39660.0,26174903.86894242,23406179306.19404
39720.0,25894258.244814634,23432073564.438854
39780.0,25601768.239643235,23457675332.678497
39840.0,25297823.412551507,23482973156.09105
39900.0,24982925.021470778,23507956081.11252
39960.0,24657535.931061726,23532613617.04358
40020.0,24322058.462846354,23556935675.506424
40080.0,23977052.61596203,23580912728.122387
40140.0,23623053.14020739,23604535781.262596
40200.0,23260562.12707044,23627796343.389668
40260.0,22890099.720240273,23650686443.10991
40320.0,22512304.813178193,23673198747.923088
